epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,685.296,1.7695,4.50692,2.12292,0.42713,0.10277,0.03087,0.01108,2.22684,8.2904,3.31355,0.000221033,0.000221033,0.000221033
2,2483.28,1.66543,3.44384,2.00396,0.21899,0.29204,0.21524,0.0853,2.11074,4.31971,2.60506,0.000399473,0.000399473,0.000399473
3,3211.42,1.64782,2.81432,1.94671,0.42338,0.42468,0.39717,0.18899,1.84176,3.28896,2.13992,0.000533891,0.000533891,0.000533891
4,3920.55,1.62864,2.34552,1.90332,0.5621,0.58352,0.62349,0.31532,1.74187,2.32343,1.9821,0.000468901,0.000468901,0.000468901
5,4701.49,1.54716,1.95466,1.82257,0.48681,0.53981,0.57487,0.28914,1.81617,2.4375,2.04954,0.000402868,0.000402868,0.000402868
6,5467.47,1.51169,1.70375,1.78062,0.72579,0.53761,0.65592,0.33254,1.71624,2.08156,1.91814,0.000336835,0.000336835,0.000336835
7,6304.71,1.43769,1.54619,1.70696,0.68748,0.72121,0.7797,0.41301,1.70136,1.64663,1.95494,0.000270802,0.000270802,0.000270802
8,7040.47,1.38209,1.34309,1.65465,0.76026,0.74765,0.78346,0.41569,1.67398,1.55357,1.87903,0.000204769,0.000204769,0.000204769
9,7754.23,1.32854,1.22806,1.61352,0.79445,0.78837,0.82817,0.45033,1.6273,1.42289,1.8736,0.000138736,0.000138736,0.000138736
10,8471.42,1.26177,1.12433,1.55893,0.82733,0.76296,0.84392,0.46012,1.63577,1.36898,1.86747,7.2703e-05,7.2703e-05,7.2703e-05
